date,game,session,winning_numbers,bonus_ball,powerball,megaball
2010-02-17,Powerball,Eve,2 17 7 8 19,26.0,,
2010-03-09,Powerball,Eve,3 9 14 16 18,19.0,,
2010-05-21,Powerball,Eve,5 21 15 20 23,26.0,,
2010-05-25,Powerball,Eve,5 25 5 14 17,19.0,,
2010-05-26,Powerball,Eve,5 26 1 6 10,13.0,,
2010-06-04,Powerball,Eve,6 4 12 13 15,17.0,,
2010-06-15,Powerball,Eve,6 15 4 12 13,21.0,,
2010-06-22,Powerball,Eve,6 22 12 17 21,23.0,,
2010-06-25,Powerball,Eve,6 25 1 2 13,19.0,,
2010-07-13,Powerball,Eve,7 13 7 11 14,15.0,,
2010-07-16,Powerball,Eve,7 16 2 15 18,20.0,,
2010-07-27,Powerball,Eve,7 27 2 7 10,16.0,,
2010-07-28,Powerball,Eve,7 28 1 11 20,25.0,,
2010-08-03,Powerball,Eve,8 3 4 13 20,22.0,,
2010-08-11,Powerball,Eve,8 11 7 10 22,23.0,,
2010-08-21,Powerball,Eve,8 21 7 10 12,22.0,,
2010-09-07,Powerball,Eve,9 7 8 18 22,24.0,,
2010-09-10,Powerball,Eve,9 10 11 12 17,21.0,,
2010-09-17,Powerball,Eve,9 17 3 4 14,18.0,,
2010-10-16,Powerball,Eve,10 16 11 12 15,16.0,,
2010-10-23,Powerball,Eve,10 23 2 7 16,20.0,,
2010-11-02,Powerball,Eve,11 2 1 3 12,16.0,,
2010-12-01,Powerball,Eve,12 1 5 10 11,12.0,,
2010-12-03,Powerball,Eve,12 3 6 11 12,18.0,,
2010-12-11,Powerball,Eve,12 11 1 8 10,19.0,,
2010-12-29,Powerball,Eve,12 29 3 16 18,20.0,,
2011-01-04,Powerball,Eve,1 4 4 8 15,25.0,,
2011-01-11,Powerball,Eve,1 11 1 4 11,16.0,,
2011-01-15,Powerball,Eve,1 15 9 13 22,23.0,,
2011-02-01,Powerball,Eve,2 1 16 22 23,26.0,,
2011-02-16,Powerball,Eve,2 16 9 13 21,23.0,,
2011-02-25,Powerball,Eve,2 25 4 5 17,19.0,,
2011-02-26,Powerball,Eve,2 26 4 13 17,21.0,,
2011-03-01,Powerball,Eve,3 1 1 12 19,20.0,,
2011-03-04,Powerball,Eve,3 4 8 10 15,23.0,,
2011-03-26,Powerball,Eve,3 26 4 10 11,19.0,,
2011-05-17,Powerball,Eve,5 17 1 2 17,25.0,,
2011-07-05,Powerball,Eve,7 5 1 10 13,18.0,,
2011-07-09,Powerball,Eve,7 9 1 9 11,23.0,,
2011-07-19,Powerball,Eve,7 19 2 9 10,16.0,,
2011-08-02,Powerball,Eve,8 2 14 17 19,20.0,,
2011-09-09,Powerball,Eve,9 9 7 12 19,23.0,,
2011-10-07,Powerball,Eve,10 7 5 15 19,23.0,,
2011-12-13,Powerball,Eve,12 13 5 6 22,26.0,,
2011-12-23,Powerball,Eve,12 23 3 5 8,18.0,,
2012-01-03,Powerball,Eve,1 3 2 3 15,22.0,,
2012-02-14,Powerball,Eve,2 14 3 5 10,26.0,,
2012-02-24,Powerball,Eve,2 24 1 16 18,25.0,,
2012-02-29,Powerball,Eve,2 29 1 4 11,23.0,,
2012-03-10,Powerball,Eve,3 10 5 14 17,20.0,,
2012-03-20,Powerball,Eve,3 20 1 4 6,11.0,,
2012-03-23,Powerball,Eve,3 23 6 17 19,20.0,,
2012-04-06,Powerball,Eve,4 6 2 19 20,24.0,,
2012-04-07,Powerball,Eve,4 7 5 13 17,20.0,,
2012-04-14,Powerball,Eve,4 14 14 15 16,19.0,,
2012-05-08,Powerball,Eve,5 8 2 6 8,18.0,,
2012-05-15,Powerball,Eve,5 15 10 11 12,14.0,,
2012-06-16,Powerball,Eve,6 16 8 14 15,16.0,,
2012-07-10,Powerball,Eve,7 10 3 11 19,23.0,,
2012-07-13,Powerball,Eve,7 13 6 7 13,24.0,,
2012-07-18,Powerball,Eve,7 18 2 5 20,23.0,,
2012-07-27,Powerball,Eve,7 27 2 3 4,8.0,,
2012-08-08,Powerball,Eve,8 8 3 7 11,15.0,,
2012-08-21,Powerball,Eve,8 21 5 13 20,23.0,,
2012-08-25,Powerball,Eve,8 25 1 6 7,20.0,,
2012-10-09,Powerball,Eve,10 9 6 15 16,22.0,,
2012-10-12,Powerball,Eve,10 12 6 10 24,26.0,,
2012-10-13,Powerball,Eve,10 13 2 5 25,26.0,,
2012-10-17,Powerball,Eve,10 17 1 7 10,23.0,,
2012-10-24,Powerball,Eve,10 24 3 18 21,23.0,,
2012-11-28,Powerball,Eve,11 28 5 16 22,23.0,,
2012-12-18,Powerball,Eve,12 18 1 6 7,18.0,,
2012-12-19,Powerball,Eve,12 19 5 8 20,23.0,,
2013-01-01,Powerball,Eve,1 1 4 11 21,25.0,,
2013-01-04,Powerball,Eve,1 4 1 2 23,25.0,,
2013-01-12,Powerball,Eve,1 12 10 14 21,23.0,,
2013-01-15,Powerball,Eve,1 15 1 6 12,19.0,,
2013-02-05,Powerball,Eve,2 5 2 5 10,26.0,,
2013-02-20,Powerball,Eve,2 20 3 17 19,25.0,,
2013-02-26,Powerball,Eve,2 26 6 7 13,15.0,,
2013-03-12,Powerball,Eve,3 12 9 12 19,20.0,,
2013-03-15,Powerball,Eve,3 15 4 8 17,22.0,,
2013-03-19,Powerball,Eve,3 19 3 6 14,21.0,,
2013-04-03,Powerball,Eve,4 3 1 6 8,12.0,,
2013-04-12,Powerball,Eve,4 12 1 10 13,19.0,,
2013-04-16,Powerball,Eve,4 16 2 5 15,18.0,,
2013-04-19,Powerball,Eve,4 19 6 8 12,22.0,,
2013-05-07,Powerball,Eve,5 7 1 6 13,20.0,,
2013-05-11,Powerball,Eve,5 11 6 13 19,23.0,,
2013-05-18,Powerball,Eve,5 18 10 13 14,22.0,,
2013-05-24,Powerball,Eve,5 24 4 5 16,18.0,,
2013-05-25,Powerball,Eve,5 25 2 6 19,21.0,,
2013-06-04,Powerball,Eve,6 4 10 11 12,20.0,,
2013-06-08,Powerball,Eve,6 8 2 11 22,26.0,,
2013-08-02,Powerball,Eve,8 2 8 21 23,25.0,,
2013-08-23,Powerball,Eve,8 23 1 9 17,20.0,,
2013-08-28,Powerball,Eve,8 28 6 7 9,19.0,,
2013-09-06,Powerball,Eve,9 6 2 16 17,22.0,,
2013-09-07,Powerball,Eve,9 7 2 19 22,26.0,,
2013-09-20,Powerball,Eve,9 20 1 15 20,21.0,,
2013-10-04,Powerball,Eve,10 4 4 16 24,25.0,,
2013-10-08,Powerball,Eve,10 8 6 15 19,23.0,,
2013-11-06,Powerball,Eve,11 6 1 5 10,15.0,,
2013-12-11,Powerball,Eve,12 11 1 10 13,18.0,,
2013-12-17,Powerball,Eve,12 17 8 14 17,20.0,,
2014-01-15,Powerball,Eve,1 15 7 8 9,24.0,,
2014-01-22,Powerball,Eve,1 22 1 2 7,9.0,,
2014-02-15,Powerball,Eve,2 15 2 9 14,21.0,,
2014-02-22,Powerball,Eve,2 22 2 3 13,14.0,,
2014-03-05,Powerball,Eve,3 5 3 7 9,26.0,,
2014-04-02,Powerball,Eve,4 2 8 13 19,22.0,,
2014-04-25,Powerball,Eve,4 25 3 11 18,20.0,,
2014-04-30,Powerball,Eve,4 30 2 9 11,19.0,,
2014-06-04,Powerball,Eve,6 4 1 7 10,22.0,,
2014-06-10,Powerball,Eve,6 10 2 10 24,26.0,,
2014-07-12,Powerball,Eve,7 12 2 3 7,23.0,,
2014-07-16,Powerball,Eve,7 16 5 15 18,26.0,,
2014-07-23,Powerball,Eve,7 23 4 10 12,22.0,,
2014-09-05,Powerball,Eve,9 5 7 12 20,24.0,,
2014-09-24,Powerball,Eve,9 24 7 14 21,24.0,,
2014-10-01,Powerball,Eve,10 1 1 4 18,20.0,,
2014-10-04,Powerball,Eve,10 4 13 18 24,25.0,,
2014-11-01,Powerball,Eve,11 1 1 3 13,25.0,,
2014-11-05,Powerball,Eve,11 5 2 11 19,21.0,,
2014-12-26,Powerball,Eve,12 26 2 5 10,20.0,,
2014-12-27,Powerball,Eve,12 27 7 10 11,14.0,,
2015-01-31,Powerball,Eve,1 31 5 11 16,26.0,,
2015-03-28,Powerball,Eve,3 28 2 4 6,12.0,,
2015-04-07,Powerball,Eve,4 7 5 15 22,26.0,,
2015-05-22,Powerball,Eve,5 22 3 14 15,25.0,,
2015-06-02,Powerball,Eve,6 2 2 9 11,22.0,,
2015-06-09,Powerball,Eve,6 9 6 16 17,25.0,,
2015-06-20,Powerball,Eve,6 20 9 10 16,20.0,,
2015-06-24,Powerball,Eve,6 24 3 5 10,22.0,,
2015-07-04,Powerball,Eve,7 4 3 6 14,18.0,,
2015-08-05,Powerball,Eve,8 5 9 11 14,16.0,,
2015-08-22,Powerball,Eve,8 22 4 12 14,21.0,,
2015-09-12,Powerball,Eve,9 12 2 3 13,16.0,,
2015-11-04,Powerball,Eve,11 4 2 12 17,20.0,,
2015-11-17,Powerball,Eve,11 17 12 14 18,24.0,,
2016-02-13,Powerball,Eve,2 13 7 15 18,19.0,,
2016-02-20,Powerball,Eve,2 20 11 12 15,16.0,,
2016-02-27,Powerball,Eve,2 27 10 11 21,22.0,,
2016-03-23,Powerball,Eve,3 23 5 8 15,22.0,,
2016-05-21,Powerball,Eve,5 21 5 7 9,23.0,,
2016-07-22,Powerball,Eve,7 22 8 24 25,26.0,,
2016-07-30,Powerball,Eve,7 30 11 17 21,23.0,,
2016-09-23,Powerball,Eve,9 23 1 5 8,25.0,,
2016-11-30,Powerball,Eve,11 30 3 14 18,25.0,,
2017-01-11,Powerball,Eve,1 11 1 3 13,16.0,,
2017-02-04,Powerball,Eve,2 4 6 13 16,17.0,,
2017-03-04,Powerball,Eve,3 4 2 18 19,22.0,,
2017-04-26,Powerball,Eve,4 26 1 15 18,26.0,,
2017-04-28,Powerball,Eve,4 28 6 13 18,20.0,,
2017-05-19,Powerball,Eve,5 19 1 4 5,24.0,,
2017-07-12,Powerball,Eve,7 12 1 2 18,23.0,,
2017-07-31,Powerball,Eve,7 31 10 26 7,9.0,,
2017-08-23,Powerball,Eve,8 23 6 7 16,23.0,,
2017-09-08,Powerball,Eve,9 8 4 5 14,26.0,,
2017-09-16,Powerball,Eve,9 16 17 18 24,25.0,,
2017-09-27,Powerball,Eve,9 27 8 10 21,23.0,,
2017-10-03,Powerball,Eve,10 3 12 18 19,25.0,,
2017-10-11,Powerball,Eve,10 11 1 3 13,19.0,,
2017-10-13,Powerball,Eve,10 13 2 7 18,26.0,,
2017-11-01,Powerball,Eve,11 1 3 6 19,26.0,,
2017-11-08,Powerball,Eve,11 8 12 14 20,21.0,,
2017-11-14,Powerball,Eve,11 14 1 14 21,22.0,,
2017-12-12,Powerball,Eve,12 12 8 23 24,25.0,,
2017-12-23,Powerball,Eve,12 23 1 3 13,15.0,,
2018-01-01,Powerball,Eve,1 1 1 12 31,1.0,,
2018-02-02,Powerball,Eve,2 2 1 4 14,17.0,,
2018-02-20,Powerball,Eve,2 20 17 19 23,24.0,,
2018-02-23,Powerball,Eve,2 23 7 11 13,19.0,,
2018-04-18,Powerball,Eve,4 18 9 10 12,17.0,,
2018-05-04,Powerball,Eve,5 4 4 5 10,12.0,,
2018-05-16,Powerball,Eve,5 16 17 19 21,22.0,,
2018-05-19,Powerball,Eve,5 19 3 6 9,17.0,,
2018-06-09,Powerball,Eve,6 9 6 10 15,25.0,,
2018-06-12,Powerball,Eve,6 12 1 3 5,8.0,,
2018-07-24,Powerball,Eve,7 24 1 2 4,19.0,,
2018-08-07,Powerball,Eve,8 7 2 13 15,21.0,,
2018-08-10,Powerball,Eve,8 10 1 3 12,22.0,,
2018-08-24,Powerball,Eve,8 24 1 6 13,18.0,,
2018-09-15,Powerball,Eve,9 15 2 18 19,24.0,,
2018-10-27,Powerball,Eve,10 27 8 12 13,19.0,,
2018-12-05,Powerball,Eve,32 12 5 12 7,8.0,,
2019-01-01,Powerball,Eve,1 1 8 15 2,18.0,,
2019-01-26,Powerball,Eve,1 26 8 12 20,21.0,,
2019-02-09,Powerball,Eve,2 9 1 2 3,7.0,,
2019-02-13,Powerball,Eve,2 13 2 8 14,24.0,,
2019-02-23,Powerball,Eve,2 23 4 6 14,20.0,,
2019-02-26,Powerball,Eve,2 26 10 12 14,24.0,,
2019-06-15,Powerball,Eve,6 15 8 11 14,16.0,,
2019-06-18,Powerball,Eve,6 18 12 14 22,24.0,,
2019-06-19,Powerball,Eve,6 19 4 18 21,26.0,,
2019-06-22,Powerball,Eve,6 22 3 6 11,14.0,,
2019-06-26,Powerball,Eve,6 26 1 5 16,22.0,,
2019-08-16,Powerball,Eve,8 16 4 14 24,26.0,,
2019-08-24,Powerball,Eve,8 24 5 12 20,21.0,,
2019-09-06,Powerball,Eve,9 6 4 11 13,19.0,,
2019-10-08,Powerball,Eve,10 8 5 8 10,17.0,,
2019-10-22,Powerball,Eve,10 22 5 11 14,23.0,,
2019-12-30,Powerball,Eve,12 30 10 8 31,7.0,,
2020-01-04,Powerball,Eve,1 4 1 11 21,25.0,,
2020-01-13,Powerball,Eve,1 13 7 8 16,20.0,,
2020-01-15,Powerball,Eve,1 15 14 16 18,25.0,,
2020-01-16,Powerball,Eve,1 16 1 1 16,10.0,,
2020-01-24,Powerball,Eve,1 24 3 4 18,23.0,,
2020-01-28,Powerball,Eve,1 28 4 9 18,20.0,,
2020-01-31,Powerball,,28 31 33 57 62,,19,
2020-02-04,Powerball,Eve,2 4 8 18 20,22.0,,
2020-02-06,Powerball,Eve,2 6 4 5 8,25.0,,
2020-02-07,Powerball,,09 14 27 36 52,,4,
2020-02-10,Powerball,Eve,2 10 5 7 21,22.0,,
2020-02-11,Powerball,,04 06 32 52 64,,6,
2020-02-14,Powerball,,10 32 48 54 55,,18,
2020-02-18,Powerball,,06 12 39 61 70,,4,
2020-02-19,Powerball,Eve,2 19 10 12 15,19.0,,
2020-02-21,Powerball,Eve,2 21 4 7 13,16.0,,
2020-02-22,Powerball,,25 37 39 61 62,,11,
2020-02-25,Powerball,,02 09 43 49 63,,15,
2020-02-26,Powerball,,08 27 29 36 47,,24,
2020-02-28,Powerball,,02 03 14 41 64,,17,
2020-02-29,Powerball,,24 44 46 50 51,,13,
2020-03-03,Powerball,,08 12 33 56 64,,2,
2020-03-04,Powerball,Eve,3 4 8 12 17,21.0,,
2020-03-06,Powerball,,15 48 56 58 70,,4,
2020-03-07,Powerball,,07 15 21 33 62,,23,
2020-03-09,Powerball,Eve,3 9 3 4 13,23.0,,
2020-03-10,Powerball,,06 17 48 54 69,,12,
2020-03-11,Powerball,,04 29 49 50 67,,2,
2020-03-13,Powerball,Eve,3 13 35 3 16,4.0,,
2020-03-14,Powerball,Eve,3 14 3 14 3,14.0,,
2020-03-16,Powerball,Eve,3 16 4 6 6,24.0,,
2020-03-17,Powerball,,20 27 28 58 59,,25,
2020-03-18,Powerball,Eve,3 18 5 14 18,23.0,,
2020-03-20,Powerball,Eve,3 20 13 14 16,24.0,,
2020-03-21,Powerball,,02 23 40 59 69,,13,
2020-03-24,Powerball,Eve,3 24 2 8 16,18.0,,
2020-03-25,Powerball,,05 09 27 39 42,,16,
2020-03-26,Powerball,Eve,3 26 5 1 68,8.0,,
2020-03-27,Powerball,Eve,3 27 15 3 27,10.0,,
2020-03-28,Powerball,,07 40 48 55 66,,11,
2020-03-31,Powerball,Eve,3 31 4 2 1,7.0,,
2020-04-01,Powerball,Eve,4 1 30 4 1,20.0,,
2020-04-02,Powerball,Eve,4 2 10 17 22,24.0,,
2020-04-03,Powerball,,24 38 44 57 58,,17,
2020-04-04,Powerball,,08 31 39 40 43,,4,
2020-04-06,Powerball,Eve,4 6 25 4 2,1.0,,
2020-04-07,Powerball,,25 33 43 51 68,,20,
2020-04-08,Powerball,,02 37 39 48 54,,5,
2020-04-09,Powerball,Eve,4 9 1 4 22,25.0,,
2020-04-10,Powerball,,02 11 21 57 60,,13,
2020-04-11,Powerball,,22 29 30 42 47,,17,
2020-04-14,Powerball,,29 47 65 69 70,,7,
2020-04-15,Powerball,,10 12 33 36 41,,2,
2020-04-16,Powerball,Eve,4 16 6 12 18,20.0,,
2020-04-17,Powerball,,13 35 39 46 55,,14,
2020-04-18,Powerball,,04 44 46 56 63,,19,
2020-04-20,Powerball,Eve,4 20 11 17 20,22.0,,
2020-04-21,Powerball,,13 15 24 67 70,,17,
2020-04-22,Powerball,,01 33 35 40 69,,24,
2020-04-24,Powerball,,01 27 32 60 67,,18,
2020-04-25,Powerball,,01 03 21 47 57,,18,
2020-04-28,Powerball,,13 19 53 54 63,,17,
2020-04-29,Powerball,,02 20 49 61 67,,20,
2020-05-01,Powerball,,28 30 31 35 66,,14,
2020-05-02,Powerball,,13 16 33 58 68,,24,
2020-05-04,Powerball,Eve,5 4 3 6 14,18.0,,
2020-05-05,Powerball,Eve,5 5 25 5 4,5.0,,
2020-05-06,Powerball,,07 08 35 50 65,,20,
2020-05-08,Powerball,,05 20 22 61 70,,4,
2020-05-09,Powerball,,12 18 42 48 65,,19,
2020-05-12,Powerball,Eve,5 12 13 14 16,23.0,,
2020-05-13,Powerball,Eve,5 13 1 9 40,9.0,,
2020-05-15,Powerball,Eve,5 15 2 7 23,26.0,,
2020-05-16,Powerball,,08 12 26 39 42,,11,
2020-05-17,Powerball,Eve,5 17 4 7 19,26.0,,
2020-05-19,Powerball,,08 19 25 36 66,,9,
2020-05-20,Powerball,,18 34 40 42 50,,9,
2020-05-21,Powerball,Eve,5 21 11 19 22,24.0,,
2020-05-22,Powerball,,08 10 20 44 46,,18,
2020-05-23,Powerball,Eve,5 23 2 8 18,21.0,,
2020-05-26,Powerball,,34 52 58 59 62,,4,
2020-05-27,Powerball,,38 58 59 64 68,,21,
2020-05-28,Powerball,Eve,5 28 7 8 12,14.0,,
2020-05-29,Powerball,,10 13 32 41 51,,3,
2020-05-30,Powerball,,13 32 41 58 60,,14,
2020-06-02,Powerball,Eve,6 2 9 20 23,26.0,,
2020-06-03,Powerball,,01 03 26 41 64,,17,
2020-06-04,Powerball,Eve,6 4 28 28 6,4.0,,
2020-06-05,Powerball,,32 35 37 47 55,,22,
2020-06-06,Powerball,,01 17 38 68 69,,18,
2020-06-09,Powerball,Eve,6 9 1 5 9,10.0,,
2020-06-10,Powerball,Eve,6 10 3 8 26,24.0,,
2020-06-12,Powerball,,09 14 57 67 70,,2,
2020-06-13,Powerball,,02 12 32 50 65,,5,
2020-06-14,Powerball,Eve,6 14 6 10 11,19.0,,
2020-06-16,Powerball,,21 23 33 35 42,,6,
2020-06-17,Powerball,,07 10 63 64 68,,10,
2020-06-19,Powerball,,11 34 36 52 66,,7,
2020-06-20,Powerball,,10 31 41 63 67,,5,
2020-06-23,Powerball,,06 20 37 40 48,,15,
2020-06-24,Powerball,,15 22 27 33 46,,23,
2020-06-26,Powerball,,19 33 37 56 57,,6,
2020-06-27,Powerball,,09 36 49 56 62,,8,
2020-06-29,Powerball,Eve,6 29 10 12 16,17.0,,
2020-06-30,Powerball,,09 16 29 37 53,,11,
2020-07-01,Powerball,,15 28 52 53 63,,18,
2020-07-03,Powerball,,20 40 44 45 50,,24,
2020-07-04,Powerball,Eve,7 4 3 9 18,19.0,,
2020-07-07,Powerball,Eve,7 7 9 12 17,22.0,,
2020-07-08,Powerball,Eve,7 8 4 13 15,19.0,,
2020-07-10,Powerball,,10 15 20 49 53,,22,
2020-07-11,Powerball,,14 19 61 62 64,,4,
2020-07-14,Powerball,,06 26 55 56 64,,22,
2020-07-15,Powerball,,27 47 61 62 69,,4,
2020-07-16,Powerball,Eve,7 16 12 21 23,25.0,,
2020-07-17,Powerball,,12 13 21 46 57,,21,
2020-07-18,Powerball,,13 16 32 58 59,,9,
2020-07-21,Powerball,Eve,7 21 4 6 16,17.0,,
2020-07-22,Powerball,,16 25 36 44 55,,14,
2020-07-24,Powerball,,08 33 39 54 58,,17,
2020-07-25,Powerball,,05 21 36 61 62,,18,
2020-07-28,Powerball,Eve,7 28 7 14 15,19.0,,
2020-07-29,Powerball,,07 29 35 40 45,,26,
2020-07-31,Powerball,Eve,7 31 5 2 68,13.0,,
2020-08-01,Powerball,,06 25 36 43 48,,24,
2020-08-04,Powerball,,02 22 30 42 62,,20,
2020-08-05,Powerball,,07 14 17 57 65,,24,
2020-08-07,Powerball,,04 44 53 64 70,,3,
2020-08-08,Powerball,,02 03 14 40 51,,24,
2020-08-09,Powerball,Eve,8 9 5 13 14,26.0,,
2020-08-10,Powerball,Eve,8 10 20 8 11,20.0,,
2020-08-11,Powerball,Eve,8 11 20 8 10,1.0,,
2020-08-12,Powerball,,02 06 18 36 37,,21,
2020-08-13,Powerball,Eve,8 13 20 8 13,5.0,,
2020-08-14,Powerball,,03 24 29 42 47,,13,
2020-08-15,Powerball,,05 12 34 45 56,,3,
2020-08-18,Powerball,,04 18 26 27 58,,23,
2020-08-19,Powerball,Eve,8 19 30 8 19,1.0,,
2020-08-20,Powerball,Eve,8 20 5 8 19,2.0,,
2020-08-21,Powerball,,11 15 31 42 63,,14,
2020-08-22,Powerball,Eve,8 22 8 12 17,25.0,,
2020-08-24,Powerball,Eve,8 24 2 4 5,12.0,,
2020-08-25,Powerball,Eve,8 25 8 10 15,17.0,,
2020-08-26,Powerball,Eve,8 26 7 10 15,17.0,,
2020-08-27,Powerball,Eve,8 27 25 8 27,20.0,,
2020-08-28,Powerball,,03 09 50 53 64,,1,
2020-08-29,Powerball,,05 21 22 29 43,,10,
2020-09-01,Powerball,Eve,9 1 25 9 1,20.0,,
2020-09-02,Powerball,Eve,9 2 26 2 9,3.0,,
2020-09-03,Powerball,Eve,9 3 10 9 3,20.0,,
2020-09-04,Powerball,Eve,9 4 20 9 4,20.0,,
2020-09-05,Powerball,,15 21 22 27 47,,7,
2020-09-08,Powerball,Eve,8 25 9 8 1,1.0,,
2020-09-09,Powerball,,27 52 55 60 64,,21,
2020-09-10,Powerball,Eve,8 20 9 10 51,9.0,,
2020-09-11,Powerball,,03 15 42 48 56,,13,
2020-09-12,Powerball,Eve,9 12 11 14 20,22.0,,
2020-09-15,Powerball,,25 28 38 59 62,,22,
2020-09-16,Powerball,,10 17 31 51 53,,1,
2020-09-18,Powerball,Eve,9 18 25 9 22,24.0,,
2020-09-19,Powerball,,11 14 23 47 57,,14,
2020-09-22,Powerball,Eve,9 22 24 9 22,12.0,,
2020-09-23,Powerball,Eve,9 23 10 9 22,12.0,,
2020-09-24,Powerball,Eve,9 2 9 24 16,9.0,,
2020-09-25,Powerball,,20 36 37 48 67,,16,
2020-09-26,Powerball,,11 21 27 36 62,,24,
2020-09-29,Powerball,,14 39 43 44 67,,19,
2020-09-30,Powerball,,14 18 36 49 67,,18,
2020-10-02,Powerball,,09 38 47 49 68,,25,
2020-10-03,Powerball,,18 31 36 43 47,,20,
2020-10-06,Powerball,,15 16 18 39 59,,17,
2020-10-07,Powerball,,06 24 30 53 56,,19,
2020-10-09,Powerball,,05 11 25 27 64,,13,
2020-10-10,Powerball,,05 18 23 40 50,,18,
2020-10-13,Powerball,,11 44 45 46 70,,25,
2020-10-14,Powerball,,21 37 52 53 58,,5,
2020-10-16,Powerball,,27 32 50 52 57,,12,
2020-10-17,Powerball,,06 10 31 37 44,,23,
2020-10-20,Powerball,,46 54 57 58 66,,10,
2020-10-21,Powerball,,01 03 13 44 56,,26,
2020-10-23,Powerball,,18 34 44 60 69,,22,
2020-10-24,Powerball,,18 20 27 45 65,,6,
